cldae taxa	clade sizde	label	runtime	nodal dist
5624,6165,674,3914,2834,5609,7016,1043,1247,332	10	I91	14.428905010223389	0
6270,1787	2	I126	14.603978633880615	0
8601,3093,456,7862	4	I330	14.508928060531616	0
8871	1	8871	14.619529008865356	0
2454,7950	2	I273	14.611828327178955	0
6748,243,421,5373	4	I107	14.50812578201294	0
2528	1	2528	14.616816759109497	0
2020	1	2020	14.623694896697998	0
7687	1	7687	14.61506962776184	0
9304	1	9304	14.59797739982605	0
7945	1	7945	14.595764398574829	0
7950	1	7950	14.620836973190308	0
765,4725,7608	3	I438	14.59265422821045	0
646,6071,7937	3	I196	14.557647943496704	0
9938,8843,9434,9761,9572	5	I47	14.522032022476196	0
7127,7425,974,8423,4653,8676,1252,7460,536,4785,3982,7576,6464,8601,3093,456,7862	17	I328	14.211986303329468	0
2738,6567	2	I470	14.5973641872406	0
9293,9793,9864,8854,8895,9185	6	I22	14.498663425445557	0
9339,9361,8966,9227,8919	5	I9	14.534183263778687	0
1943,5459,8774	3	I471	14.536340713500977	0
4842,5080	2	I134	14.581549882888794	0
7443,5576,2370,2274,762,2523	6	I322	14.49144172668457	0
4786	1	4786	14.555256128311157	0
2328,594	2	I159	14.219397783279419	0
5944,6421,7060,1865,3552	5	I179	14.10620927810669	0
7538,1313,8722,374,3817	5	I376	14.15882420539856	0
6031,2056,1943,5459,8774,2738,6567,6060,2031,1576	10	I465	13.995740413665771	0
3534	1	3534	14.239530801773071	0
2075,7412,284,4238,4981,8321,7173,6395,2157,5713,3448,4222,2496,5868,8267,1908,6677,7494,4966,2556,4066,2243,7882,3416,2981,4513,6102,2118,517,129,3334,3630,675,7366,8785,7586,7015,1052,4512,8113,7346,577,6346,8024,696,1204,1863,3725,1950,4032,4738,5105,646,6071,7937,2725,5441,3684,831,1472,4941,1332,6801,3734,3571,2020,4786,5944,6421,7060,1865,3552,4947,2100,2272,4077,7124,4401,5568,748,4848,5462,8625,5113,8587,4539,7270,3421,3270,53,7336,8262,2328,594,6229,7035,7079,5534,1333,5383,4176,5829,739,4736,8319,7521,685,3635,5751,1243,4637,2775,2234,5081,8223,4842,5080,6836,6317,8766,7313,4682,7320,3772,6270,1787,4621,7873,2528,2488,7554,1429,5445,7687,1120,3948,1965,8174,4840,8532,6859,6748,243,421,5373,2276,8356,2852	148	I101	10.627455711364746	0
3416,2981,4513,6102,2118,517,129,3334,3630,675,7366,8785,7586,7015,1052,4512,8113,7346	18	I210	13.918345928192139	0
2834,5609,7016	3	I95	14.009207963943481	0
8356	1	8356	14.052149295806885	2
2981	1	2981	14.052167654037476	0
1908	1	1908	13.947568655014038	0
5462,8625	2	I170	13.526049375534058	0
7454	1	7454	13.445754766464233	0
3684,831	2	I194	13.43835711479187	0
7440,2061,3940,3036,8390,4547	6	I283	13.338035106658936	0
6238	1	6238	13.469388246536255	0
7559	1	7559	13.486239910125732	0
7116,6911	2	I314	13.467750310897827	0
9593,9964	2	I57	13.411630153656006	0
3619,126,3124,5079,6612,7677	6	I275	13.3405921459198	0
7346	1	7346	13.464932441711426	0
9593,9964,9283,8887,8848,9423,9070,9445	8	I51	13.283163785934448	0
4032	1	4032	13.449186086654663	0
4747,5007,6481	3	I400	13.422426700592041	0
