cldae taxa	clade sizde	label	runtime	nodal dist
6323,5883,6319,5405,7331,3299,6781,7443,4417,9816,8794,8783,9809,4910,4312,3630,7513,8383,8260,6062,9558,4053,5905,3625,9637,4921,3456,5868,7102,5312,5679,7457,9447,6268,9078,8122,9373,3653,8021,6701,8325,6925,5674,8221,3994,8263,8559,5071,6443,7591,3388,6539,6329,5296,3450,4486,5540	57	-	6675.541399002075	0
2166,634,2862,792,2087,1888,617,940,2384,879,1967,782,614,2233,2770,3146,833,864,3073,1046,2564,2194,761,2990,168,1953,1242,319,2405,1858,2673,1092,464,2636,2019,2688,1461,1121,1944,2412	40	-	4690.368530988693	0
9032,6688,7453,7475,9116,7378,7845,5547,7291,6017,9950,7352,7449,8530,7085,3382,6598,3223,6569,7060,4283,8038,5519,6882,9942,8611,7355,9372,7991,5950,5494,4396,3661,8365,4843,5409,4732,9589,8824,9673,8785,7589,8532,8020,6870,3492,6246,6975,8112,8591,5462,7563,9026	53	-	6238.561409950256	0
9761,8410,8139,5798,6485,7138,6663,4729,5402,8145,7626,5651,7025,7141,9797,4885,6144,9528,7814,3366,8173,6259,9011,6390,6616,8146,5501,4730,9389,8079,8097,8480,8764,3352,4999,5660,7122,8041,9057,5368,5096	41	-	4909.128647565842	0
4097,7432,7717,7702,6914,7391,9214,4463,6457,9327,7836,9346,5007,7120,5091,8965,6795,9965,4115,7584,7988,4696,3663,7379,7024,9299,6076,6604,7915,9822,3898,5475,9312,4756,9134,7844,6058,5571,4395,9244,4629,5661,8711,9122	44	-	5342.1076917648315	0
9111,4305,6854,4165,6807,3903,3329,4751,6934,4673,9145,8286,3543,4326,9101,8242,3440,6532,4832,7460,7840,7990,5287,6578,6254,5082,8898,4465,3637,4410,3593,8433,5654,5346,6417	35	-	4109.10341501236	0
5257,9871,3797,3936,3829,5247,5533,4539,9243,6565,9882,5612,5311,9340,7806,3775,9571,9991,4902,3357,9627,5326,9823,3935,8177,4397,3922,5852,3519,7422,4011,6933,9240,9765,9672,7300,8929,7627,9952,7444,6231,9206	42	-	4924.602097034454	0
1277,2166,634,2862,792,2087,1888,617,940,2384,879,1967,782,614,2233,2770,3146,833,864,3073,1046,2564,2194,761,2990,168,1953,1242,319,2405,1858,2673,1092,464,2636,2019,2688,1461,1121,1944,2412	41	-	4826.381155967712	0
4437,4261,3372,4962,7700,5658,3733,9253,7916,8938,3896,8427,6534,9077,7701,4407,8393,4979,4124,8885,5646,8298,3282,5667,9550,5361,8208,5725,6740,7655,4666,8282,7604,3233,9135	35	-	4109.159400463104	0
6707,5211,5653,5330,9336,6764,7005,9751,7425,7780,9056,7027,8359,8301,6294,3802,5954,8969,6670,9023,9391,9050,4529,3859,9730,6363,5738,6284,7226,7458,5078,6683,9523,7429,7579,8011,7383,7315,4136,7617,4866,9819,9501,4113,5398,3912	46	-	5379.573715686798	0
7432,7717,7702,6914,7391,9214,4463,6457,9327,7836,9346,5007,7120,5091,8965,6795,9965,4115,7584,7988,4696,3663,7379,7024,9299,6076,6604,7915,9822,3898,5475,9312	32	-	3753.1074714660645	2
5089,7544,7680,5239,8555,5788,6580,6256,3979,4241,8002,3229,9123,7952,6309,5790,9013,8574,4127,4907,7032,6365,9806,6243,7923,8262,8445,7713,6322,9511,8743,4819,4181,4802,5851,4327,5804,5203,4266,4989,7985,3469,6693,4550,3328,3507,6873,5375,7711,7109,5433,8828,5353,7659,3730,6505,7628,9484	58	-	6803.345143556595	0
9144,7259,8186,3937,9858,5197,9290,8478,5786,3731,5306,9966,4316,3886,4833,4995,7727,6510,6016,4075,4478,3249,5340,7121,5537,5682,3997,5545,6435,9929,9820,7350,9381,6671,6304,4597,4918,6415,6642,9788	40	-	4687.179757356644	0
6373,4160,5945,7598,3325,5291,7809,8948,5418,5496,4099,3563,8040,9551,4850,8367,9910,8622,5438,3953,6334,4091,4000,3662,4143,4366,7607,4721,5876,9660,6175,9402,4228,5374,3738,9700,4891,5960,6158,3880,3818,3978,3508,4079,8014,3739,7190,6697,9577,3248,9756,4857,3706,6766,7337,3652,6468,7611,7251,5611,8284	61	-	7185.019628763199	0
5964,8475,8765,6514,6508,3665,3988,7699,6292,6253,5201,4005,7715,9073,6538,7463,7688,3549,5363,6195,6103,6386,3419,5045,8704,7514,3675,3957,9539,9289,7055,8379,4214,8956,9228,9530,4881,6718,6349,4426,9089,8640,9962,7326,4318,7776,9205,7313,8116,6879,9176,4982,8549,7606,7373,7921,3346,8687,9200,7245,7288,8737,7994,9625,5564,7225,3830,7868	68	-	7966.792040586472	1
2388,1793,2376,934,2694,2153,1132,1457,2238,2731,2383,2369,3058,3182,2003,2275,1537,364,2446,951,2141,2787,3052,2063,1605,42,2208,2795,805,489,446,3136,2977,643,1809	35	-	4477.13777256012	0
